ID,cluster,label
1704875583,2,RP
6674572658,2,RP
9993623468,1,RP
10607320546,1,RP
11239534806,1,RP
14953875748,1,RP
16277393756,0,RS
19987809609,2,RP
21164370115,0,RS
22788077558,0,RS
29372392582,2,RP
30130295457,2,RP
31187055574,2,RP
31681490440,2,RP
31942215998,2,RP
36018865580,0,RS
39517918854,1,RP
42921722244,1,RP
45254376151,2,RP
46801823032,1,RP
47000903308,2,RP
48927645575,1,RP
52261410280,1,RP
54458310448,1,RP
55364907425,2,RP
57951029288,1,RP
59063557811,1,RP
63731311654,0,RS
66912773345,2,RP
70468969762,2,RP
74780699711,1,RP
75248356572,1,RP
77770024112,1,RP
78370785431,2,RP
78746256867,2,RP
82111636043,1,RP
82546700349,0,RS
82748713708,1,RP
83170364647,1,RP
83653631972,2,RP
85744937287,1,RP
87845969811,1,RP
91723788182,2,RP
91900094744,1,RP
95811811353,1,RP
97149691915,1,RP
97179492640,2,RP
97609846811,1,RP
100542420872,1,RP
101600564162,1,RP
101738209253,1,RP
102535568783,2,RP
103285643131,1,RP
104075647879,0,RS
106047725481,1,RP
110795159055,1,RP
113055822962,1,RP
114101258104,2,RP
116071129180,2,RP
117528142191,0,RS
119371042139,1,RP
119798639658,2,RP
121193698086,1,RP
122036365448,2,RP
124670810391,1,RP
131505931144,1,RP
132158257663,1,RP
132170026726,1,RP
136985465680,2,RP
139703386329,1,RP
143987990888,1,RP
144766234091,1,RP
149311246421,2,RP
150629884370,1,RP
151813025565,1,RP
152750931257,2,RP
154047266662,1,RP
161904472264,1,RP
170517573134,1,RP
170877224237,0,RS
172772856068,2,RP
173324578397,1,RP
175475184338,1,RP
177594029577,1,RP
178558518232,1,RP
180458287234,1,RP
181519626651,2,RP
181534936703,0,RS
185776285910,2,RP
192259607253,1,RP
192632810845,1,RP
198273847272,1,RP
199087875388,1,RP
204732711941,2,RP
206736356689,2,RP
206803924442,1,RP
206916721916,1,RP
207366513418,1,RP
210476483019,2,RP
210536163882,2,RP
213839656729,0,RS
214232158072,2,RP
215897992736,2,RP
218855685418,1,RP
225779963149,2,RP
226823422818,2,RP
228717553522,2,RP
228804090907,2,RP
229132370072,2,RP
233546818593,0,RS
234983477656,1,RP
237551162989,2,RP
237903600571,1,RP
239838262265,2,RP
243204890474,2,RP
245599652122,2,RP
245844131190,1,RP
247270405515,1,RP
251564398795,2,RP
252435761951,2,RP
257759555173,1,RP
258193317291,2,RP
261327986536,1,RP
264209265655,1,RP
265878946516,1,RP
267204000760,2,RP
268092752432,1,RP
268424487419,1,RP
269909755081,1,RP
270398488961,0,RS
270608097869,2,RP
273380085085,2,RP
273392248645,1,RP
276947808397,0,RS
277140144361,2,RP
279909383494,2,RP
281544600039,1,RP
282084662316,1,RP
283149930567,2,RP
293928641167,1,RP
296204507771,2,RP
298144869436,1,RP
300138891975,2,RP
301496713818,1,RP
305539327970,2,RP
306538840704,1,RP
310552464401,2,RP
312793831358,0,RS
314712006945,0,RS
317178441494,1,RP
318189040241,1,RP
318315634437,1,RP
318504977874,1,RP
323483566337,2,RP
325677659580,0,RS
326483884442,1,RP
328777673639,1,RP
330748533778,2,RP
332054031196,2,RP
335501279223,2,RP
336770480084,2,RP
339230169972,1,RP
341383495960,1,RP
345729437956,2,RP
348813764730,2,RP
355681005154,2,RP
356658965808,2,RP
357364882741,1,RP
358104386259,1,RP
364130371528,1,RP
370551363246,2,RP
374414805337,1,RP
374981009514,1,RP
376615522224,2,RP
380122412541,1,RP
382987677293,1,RP
387341643327,0,RS
387497691601,1,RP
387623659346,2,RP
389049510861,2,RP
389415431552,2,RP
390364612633,2,RP
392040358493,2,RP
392135992002,1,RP
395209611171,2,RP
401825622584,2,RP
402732521602,2,RP
403823963742,2,RP
406748544686,1,RP
407542367671,0,RS
408934522382,1,RP
413439608173,2,RP
414075764853,1,RP
419223302917,1,RP
419659356959,1,RP
424388231333,2,RP
424879169408,2,RP
425577291923,1,RP
427677700464,2,RP
429923107993,0,RS
434085807778,1,RP
438889823686,1,RP
439804089430,2,RP
440547412552,1,RP
441022273291,2,RP
444498141205,1,RP
445107976517,1,RP
445972407709,1,RP
446950152221,1,RP
450696627196,1,RP
450875280434,1,RP
451115621158,2,RP
454215309767,1,RP
456068761143,2,RP
456438082734,1,RP
456848294741,1,RP
460219703544,2,RP
461567416208,2,RP
461845599527,1,RP
472524819242,2,RP
472890523904,2,RP
473623072737,1,RP
474280641581,1,RP
474877816928,1,RP
476866365062,1,RP
478263149367,2,RP
478641134427,2,RP
482711484576,2,RP
485938576709,1,RP
488284777027,1,RP
489966644023,2,RP
492043935205,2,RP
494622515995,2,RP
496816889201,1,RP
497991941156,2,RP
498148724535,2,RP
500229314484,2,RP
502355731300,2,RP
502492346691,1,RP
502666379920,2,RP
505685300811,2,RP
505727036961,1,RP
506085899132,2,RP
506217938614,2,RP
506516425398,1,RP
507151334062,2,RP
507301153924,2,RP
508705675438,1,RP
509803096929,1,RP
512115561842,0,RS
515633380601,1,RP
519523043142,2,RP
521688376124,1,RP
522699594880,2,RP
523126220371,1,RP
527513524145,1,RP
527841270938,2,RP
528473190220,1,RP
530326467339,2,RP
530839250387,2,RP
532156016483,1,RP
535147169479,2,RP
537794905641,2,RP
543083371030,1,RP
550439711039,2,RP
550699097107,1,RP
550824816499,2,RP
554556763469,1,RP
554934799498,1,RP
556873722359,1,RP
557510439545,2,RP
562644483220,1,RP
565254289340,1,RP
567178937487,1,RP
569476192672,0,RS
570165055314,2,RP
572527507614,1,RP
574397327438,1,RP
576318259050,2,RP
577295037933,2,RP
581115248494,2,RP
581345917865,2,RP
582816965126,2,RP
587216697333,1,RP
589060066138,0,RS
590496609767,2,RP
593324656618,1,RP
593948855549,1,RP
597355425293,2,RP
600628425457,1,RP
601151545360,2,RP
602720394896,1,RP
606977580459,1,RP
607944129448,2,RP
608939374827,2,RP
620187022059,2,RP
621743044608,1,RP
621818987245,1,RP
623330210743,2,RP
623992423880,1,RP
624179141101,1,RP
624234612968,1,RP
625118767797,2,RP
630132392663,2,RP
631764704701,1,RP
632662091867,1,RP
635159010835,2,RP
635315346916,2,RP
636003157709,0,RS
638319105726,2,RP
640926753755,1,RP
642017876916,1,RP
642890962601,1,RP
649387263878,2,RP
649759679802,1,RP
650177016310,1,RP
650651954021,1,RP
652263958710,1,RP
653813339670,2,RP
655099517340,2,RP
655455561190,2,RP
659061858032,1,RP
660232361383,2,RP
665391033670,0,RS
665652027296,1,RP
666207655158,1,RP
669986972336,2,RP
673399951512,1,RP
677711541818,2,RP
678827882270,2,RP
683877419832,2,RP
685469876576,1,RP
687491646215,2,RP
687614166407,1,RP
688581497117,1,RP
688684495583,1,RP
691676578586,2,RP
695799524664,1,RP
696874601520,1,RP
696919189849,1,RP
702601812075,0,RS
704732935585,1,RP
707528840314,2,RP
708926547970,2,RP
711466802054,2,RP
711954092132,0,RS
713142020168,2,RP
714130684131,1,RP
718268169857,1,RP
727941794770,2,RP
728535918634,2,RP
731628519845,2,RP
733176370329,2,RP
734296456453,1,RP
737799359531,1,RP
740636461664,2,RP
741808060517,1,RP
743056316867,1,RP
745536967686,1,RP
747298632726,2,RP
747826355688,1,RP
748548747258,1,RP
748861601578,1,RP
751401165309,1,RP
752185453913,2,RP
755020396264,1,RP
755200733357,0,RS
755491831973,1,RP
756106530982,1,RP
758839222703,2,RP
760993038779,1,RP
761375252872,1,RP
763769451041,2,RP
767604601191,1,RP
768636443453,1,RP
770070819764,1,RP
776276895631,2,RP
777953998828,1,RP
787446444604,1,RP
788733311230,1,RP
788807531441,1,RP
790099378712,1,RP
793569630032,1,RP
795586183228,1,RP
797323407130,0,RS
799406950356,1,RP
802796690791,2,RP
803138688295,1,RP
806599957916,2,RP
809181497950,2,RP
809821621799,2,RP
810601431356,2,RP
811097209910,1,RP
811748983541,1,RP
813107284808,1,RP
816622139539,2,RP
817600743266,1,RP
817880574087,1,RP
818376322112,1,RP
818743231898,2,RP
819088955320,1,RP
819168377451,1,RP
820020964462,1,RP
820741254773,2,RP
828535486044,2,RP
833583169738,1,RP
834037955197,2,RP
834683044992,1,RP
834896551443,2,RP
836642293415,0,RS
837966292495,2,RP
839265047606,2,RP
839745214209,2,RP
841931536160,1,RP
846292610674,1,RP
846756883124,1,RP
847448212579,1,RP
848612010685,1,RP
849368748547,1,RP
850961275723,2,RP
851654668471,1,RP
855010184258,1,RP
857901669557,0,RS
859279459691,2,RP
860801208814,1,RP
866253807498,1,RP
870494197125,1,RP
871802217433,1,RP
872881219073,1,RP
873655333875,0,RS
876397394110,2,RP
876746613047,2,RP
880442713260,1,RP
882767203362,1,RP
884554603261,2,RP
885139960564,2,RP
885451189626,1,RP
888014193986,1,RP
891339182265,1,RP
891887251888,1,RP
897353501656,2,RP
901706045162,2,RP
902339290190,1,RP
906544934073,2,RP
906744822424,1,RP
907064487512,2,RP
910950270213,1,RP
915981024333,2,RP
917755392634,1,RP
919329281161,2,RP
920962379035,1,RP
922574297624,2,RP
925667714699,0,RS
926380538546,2,RP
928974227119,2,RP
